"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/stream-35a1ee2c51d2160356fd7bbea6bc4089","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"340.48176956176763","36.0","84.0","6196.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23892.0"
"345.2256295681","36.0","84.0","6196.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23892.0"
"350.46035838127136","36.0","84.0","6196.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","23892.0"
"355.2342743873596","36.0","84.0","6452.0","32.0","17444.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24148.0"
"360.05942130088806","36.0","88.0","6452.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24148.0"
"365.3228123188019","36.0","88.0","6452.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24148.0"
"370.0927259922028","36.0","88.0","6716.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24412.0"
"375.38166236877436","36.0","88.0","6716.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24412.0"
"380.2076847553253","36.0","88.0","6716.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24416.0"
"385.47482013702387","36.0","88.0","6976.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24676.0"
"390.2725188732147","36.0","88.0","6976.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24676.0"
"395.1080572605133","36.0","88.0","6976.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24676.0"
"400.07996940612793","36.0","96.0","7116.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","28.0","24812.0"
"405.4538025856018","36.0","96.0","7240.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","24940.0"
"410.3671290874481","36.0","96.0","7240.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","24940.0"
"415.2256288528442","36.0","96.0","7504.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25204.0"
"420.14286375045776","36.0","96.0","7504.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25204.0"
"425.3970839977264","36.0","96.0","7504.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25204.0"
"430.1694712638855","36.0","96.0","7636.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25336.0"
