"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"530.0455965995789","36.0","120.0","9288.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26992.0"
"535.4365484714508","36.0","120.0","9288.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","26992.0"
"540.2736721038818","36.0","120.0","9424.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27128.0"
"545.0554785728456","36.0","120.0","9552.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27256.0"
"550.3476026058197","36.0","120.0","9552.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27256.0"
"555.2560963630676","36.0","120.0","9684.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27388.0"
"560.0890917778015","36.0","124.0","9824.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27528.0"
"565.3531007766724","36.0","124.0","9824.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27528.0"
"570.1028323173522","36.0","124.0","9952.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27656.0"
"575.3805072307588","36.0","124.0","10080.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27784.0"
"580.0890913009644","36.0","124.0","10080.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27784.0"
"585.4290845394136","36.0","124.0","10208.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","27912.0"
"590.1867556571959","36.0","124.0","10336.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28040.0"
"595.4823188781737","36.0","132.0","10340.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28044.0"
"600.3496596813203","36.0","132.0","10480.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28188.0"
"605.1604986190796","36.0","132.0","10608.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28316.0"
"610.3747296333312","36.0","132.0","10608.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28316.0"
"615.1765260696411","36.0","132.0","10736.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28444.0"
"620.0281908512114","40.0","136.0","10604.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28312.0"
"625.3168768882751","40.0","136.0","10604.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28312.0"
"630.1318745613097","40.0","136.0","10740.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28452.0"
