"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-179e1a20410cfce1ebbb071c9b6379ed","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"550.1967339515686","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"555.0439977645874","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"560.3522033691406","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"565.2441852092742","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"570.1223332881927","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"575.0325009822844","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"580.4327492713927","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"585.3171756267548","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"590.2244157791138","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"595.0686333179474","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17728.0"
"600.4290907382965","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"605.3337099552156","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"610.0862333774568","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"615.3806569576262","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"620.2633969783782","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"625.0647013187407","36.0","28.0","36.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"630.4543929100038","36.0","32.0","40.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"635.2979924678802","36.0","32.0","40.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"640.1105880737305","36.0","32.0","40.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"645.465975522995","36.0","32.0","40.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"650.3215928077698","36.0","32.0","40.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"655.08522605896","36.0","32.0","40.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"660.3841071128845","36.0","32.0","40.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"665.2182383537292","36.0","32.0","40.0","36.0","17448.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17732.0"
"670.0551915168762","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17736.0"
"675.3641912937163","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17736.0"
"680.2918412685393","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17736.0"
